iter,amp,temp_eV,m0,m2
1,30961810.1861,18050.8476708,3.078945e+20,7.182504e+32
2,31898957.1558,19307.4096411,3.359611e+20,8.273989e+32
3,30118931.6722,17927.1543666,2.977408e+20,6.906900e+32
4,30658374.685,18911.6870184,3.172804e+20,7.685364e+32
5,30657506.3949,18908.7410187,3.172294e+20,7.683167e+32
6,30657391.7248,18908.3523438,3.172227e+20,7.682878e+32
7,30657345.7611,18908.1980493,3.172200e+20,7.682762e+32
8,30657321.3401,18908.1154177,3.172186e+20,7.682701e+32
9,30657305.4284,18908.0639118,3.172177e+20,7.682662e+32
10,30657294.2981,18908.0288807,3.172171e+20,7.682636e+32
