iter,amp,temp_eV,m0,m2
1,167.08296763,25127.2323251,3.655769e+20,1.521282e+06
2,142.137722563,21373.4578166,2.866365e+20,1.020893e+06
3,154.217542561,27091.5854953,3.504703e+20,1.568403e+06
4,142.172917647,25115.9268635,3.110032e+20,1.293622e+06
5,142.156286618,25121.1284488,3.109993e+20,1.293864e+06
6,142.152281555,25122.3801864,3.109984e+20,1.293922e+06
7,142.150470783,25122.9441226,3.109979e+20,1.293948e+06
8,142.14945035,25123.2636874,3.109977e+20,1.293963e+06
9,142.148789573,25123.4696564,3.109975e+20,1.293973e+06
10,142.148336465,25123.6115375,3.109974e+20,1.293979e+06
